"term","frequency","type_"
"aeroallergen",2,"ARTICLE"
"aerobarco",2,"ARTICLE"
"aeróbia",2,"ARTICLE"
"aeróbias",8,"ARTICLE"
"aerobic",34,"ARTICLE"
"aeróbico",1,"PATENT"
"aeróbico",2,"ARTICLE"
"aeróbio",2,"ABSTRACT"
"aeróbio",10,"ARTICLE"
"aerodigestive",13,"ARTICLE"
"aerodinâmica",1,"SPEAKER"
"aerodinâmicas",8,"BOOK_CHAPTER"
"aerodiol",2,"SPEAKER"
"aerodynamic",6,"ARTICLE"
"aeroespaciais",2,"ABSTRACT"
"aeroespaciais",8,"BOOK_CHAPTER"
"aeroespacial",2,"ABSTRACT"
"aerofolio",1,"PATENT"
"aerofólios",1,"PATENT"
"aerofones",7,"BOOK"
"aerofotogrametria",2,"ABSTRACT"
"aerogeradores",1,"ARTICLE"
"aeromonas",2,"ARTICLE"
"aeronáutica",1,"SPEAKER"
"aeronáutica",10,"ABSTRACT"
"aeronautical",2,"SPEAKER"
"aeronáuticas",1,"PATENT"
"aeronáuticas",2,"ABSTRACT"
"aeronave",6,"ARTICLE"
"aeronaves",6,"ARTICLE"
"aeropalinologia",2,"ABSTRACT"
"aerophones",7,"BOOK"
"aeroporto",2,"ARTICLE"
"aeroporto",6,"ABSTRACT"
"aeroporto",8,"BOOK_CHAPTER"
"aeroportos",2,"ARTICLE"
"aerosol",10,"ARTICLE"
"aerosols",2,"ARTICLE"
"aerossóis",2,"ARTICLE"
"aerossolização",2,"ABSTRACT"
"aeruginosa",10,"ARTICLE"
"aes",2,"ABSTRACT"
"aes",4,"ARTICLE"
"aescrever",8,"BOOK_CHAPTER"
"aesla",1,"SPEAKER"
"aesos",1,"ABSTRACT"
"aesos",2,"SPEAKER"
"aesperança",1,"ARTICLE"
"aesthetic",8,"BOOK_CHAPTER"
"aesthetic",44,"ARTICLE"
"aesthetics",1,"SPEAKER"
"aesthetics",6,"ABSTRACT"
"aesthetics",10,"ARTICLE"
"aestiva",4,"ARTICLE"
"aestivus",2,"ARTICLE"
"aestuans",1,"ARTICLE"
"aethiopicum",2,"ARTICLE"
"aethroidea",8,"BOOK_CHAPTER"
"aeva",1,"ABSTRACT"
"aevsf",3,"ABSTRACT"
"afa",16,"BOOK_CHAPTER"
"afagos",8,"BOOK_CHAPTER"
"afasia",3,"ABSTRACT"
"afasia",16,"ARTICLE"
"afasia",40,"BOOK_CHAPTER"
"afasias",2,"ABSTRACT"
"afasias",2,"ARTICLE"
"afásico",4,"ARTICLE"
"afásico",8,"BOOK_CHAPTER"
"afásicos",8,"ARTICLE"
"afásicos",8,"BOOK_CHAPTER"
"afasta",8,"BOOK_CHAPTER"
"afastada",4,"ABSTRACT"
"afastado",2,"ABSTRACT"
"afastadores",4,"ABSTRACT"
"afastam",2,"ARTICLE"
"afastamento",4,"ARTICLE"
"afastamentos",2,"ARTICLE"
"afayas",8,"BOOK"
"afazeres",8,"BOOK_CHAPTER"
"afb1",2,"ARTICLE"
"afe",2,"ABSTRACT"
"afeccão",2,"ARTICLE"
"afecção",2,"ARTICLE"
"afecções",2,"SPEAKER"
"afecções",3,"ARTICLE"
"afecções",8,"BOOK_CHAPTER"
"afectados",8,"BOOK_CHAPTER"
"afectiva",2,"ARTICLE"
"afectiva",8,"BOOK_CHAPTER"
"afectivo",2,"ARTICLE"
"afectos",2,"ARTICLE"
"afects",2,"ARTICLE"
"afeganistão",1,"SPEAKER"
"afeic",8,"BOOK_CHAPTER"
"aferição",2,"ABSTRACT"
"aferição",4,"ARTICLE"
"aferj",1,"SPEAKER"
"afeta",7,"ARTICLE"
"afeta",16,"BOOK_CHAPTER"
"afetação",8,"BOOK_CHAPTER"
"afetada",8,"ARTICLE"
"afetadas",2,"ARTICLE"
"afetados",3,"ABSTRACT"
"afetados",24,"BOOK_CHAPTER"
"afetam",5,"ABSTRACT"
"afetam",5,"ARTICLE"
"afetam",8,"BOOK_CHAPTER"
"afetando",2,"ARTICLE"
"afetando",8,"BOOK_CHAPTER"
"afetiva",1,"SPEAKER"
"afetiva",6,"ABSTRACT"
"afetiva",11,"ARTICLE"
"afetiva",39,"BOOK_CHAPTER"
"afetivações",1,"ARTICLE"
"afetivações",2,"ABSTRACT"
"afetivas",2,"SPEAKER"
"afetivas",8,"BOOK"
"afetivas",16,"BOOK_CHAPTER"
"afetivas",18,"ARTICLE"
"afetividade",4,"SPEAKER"
"afetividade",8,"BOOK"
"afetividade",17,"ABSTRACT"
"afetividade",18,"ARTICLE"
"afetividade",88,"BOOK_CHAPTER"
"afetividades",2,"ARTICLE"
"afetividades",8,"BOOK"
"afetivo",7,"SPEAKER"
"afetivo",8,"BOOK"
"afetivo",10,"ABSTRACT"
"afetivo",17,"ARTICLE"
"afetivo",31,"BOOK_CHAPTER"
"afetivos",2,"ABSTRACT"
"afetivos",2,"ARTICLE"
"afeto",2,"ABSTRACT"
"afeto",7,"SPEAKER"
"afeto",14,"ARTICLE"
"afeto",40,"BOOK"
"afeto",112,"BOOK_CHAPTER"
"afetos",12,"SPEAKER"
"afetos",14,"ABSTRACT"
"afetos",31,"ARTICLE"
"afetos",38,"BOOK"
"afetos",72,"BOOK_CHAPTER"
"aff",26,"ARTICLE"
"affacciano",8,"BOOK_CHAPTER"
"affairs",1,"SPEAKER"
"affairs",2,"ARTICLE"
"affect",96,"ARTICLE"
"affected",53,"ARTICLE"
"affecting",21,"ARTICLE"
"affection",2,"ARTICLE"
"affective",2,"SPEAKER"
"affective",8,"ARTICLE"
"affectivity",2,"ARTICLE"
"affects",77,"ARTICLE"
"affen",1,"SPEAKER"
"affercting",2,"ARTICLE"
"afferent",2,"ARTICLE"
"affetive",2,"ARTICLE"
"affine",2,"ARTICLE"
"affinis",4,"ARTICLE"
"affinity",49,"ARTICLE"
"affirmation",2,"ARTICLE"
"affirmation",2,"SPEAKER"
"affirmative",6,"ARTICLE"
"affonso",2,"ABSTRACT"
"affonso",4,"ARTICLE"
"affordances",8,"BOOK_CHAPTER"
"afhic",2,"ABSTRACT"
"afhic",3,"SPEAKER"
"afiação",2,"ARTICLE"
"afiada",1,"SPEAKER"
"afica",8,"BOOK_CHAPTER"
"afilamento",2,"ABSTRACT"
"afilamento",2,"ARTICLE"
"afilhado",2,"ARTICLE"
"afiliação",11,"ARTICLE"
"afiliada",5,"ABSTRACT"
"afiliado",8,"ABSTRACT"
"afim",3,"ARTICLE"
"afim",16,"BOOK_CHAPTER"
"afinada",8,"BOOK_CHAPTER"
"afinal",8,"BOOK"
"afinal",12,"ARTICLE"
"afinal",32,"BOOK_CHAPTER"
"afinar",8,"BOOK_CHAPTER"
"afinidade",2,"ARTICLE"
"afinidades",2,"ABSTRACT"
"afinidades",2,"ARTICLE"
"afinidades",3,"SPEAKER"
"afinidades",16,"BOOK_CHAPTER"
"afinla",2,"SPEAKER"
"afins",1,"PATENT"
"afins",4,"ARTICLE"
"afins",6,"SPEAKER"
"afins",19,"ABSTRACT"
"afirmação",5,"ABSTRACT"
"afirmação",5,"SPEAKER"
"afirmação",24,"ARTICLE"
"afirmação",96,"BOOK_CHAPTER"
"afirmações",2,"ARTICLE"
"afirmando",2,"SPEAKER"
"afirmar",2,"ARTICLE"
"afirmar",8,"BOOK_CHAPTER"
"afirmativa",8,"ABSTRACT"
"afirmativa",8,"ARTICLE"
"afirmativa",27,"SPEAKER"
"afirmativa",64,"BOOK_CHAPTER"
"afirmativano",1,"SPEAKER"
"afirmativas",53,"ARTICLE"
"afirmativas",79,"BOOK"
"afirmativas",86,"ABSTRACT"
"afirmativas",95,"SPEAKER"
"afirmativas",261,"BOOK_CHAPTER"
"afirmativo",1,"SPEAKER"
"afirse",43,"SPEAKER"
"afito",1,"SPEAKER"
"afiveladas",2,"ARTICLE"
"aflabetização",1,"ARTICLE"
"aflatoxin",9,"ARTICLE"
"aflatoxinas",1,"ABSTRACT"
"aflatoxinas",2,"ARTICLE"
"aflatoxins",6,"ARTICLE"
"aflição",4,"ARTICLE"
"aflico",1,"SPEAKER"
"aflições",8,"BOOK_CHAPTER"
"aflitos",1,"ARTICLE"
"aflora",8,"BOOK"
"aflorado",8,"BOOK_CHAPTER"
"afloramento",2,"ARTICLE"
"afloramentos",4,"ARTICLE"
"aflp",2,"ABSTRACT"
"aflp",5,"ARTICLE"
"aflps",2,"ARTICLE"
"afluentes",1,"ARTICLE"
"afluentes",2,"ABSTRACT"
"afmn",1,"ABSTRACT"
"afogados",2,"ARTICLE"
"afonjá",1,"ABSTRACT"
"afonso",22,"SPEAKER"
"afonso",28,"ARTICLE"
"afonso",31,"BOOK"
"afonso",80,"BOOK_CHAPTER"
"afonso",92,"ABSTRACT"
"Afonso Henriques",1,"NAME"
"Afonso Mancuso de Mesquita",1,"NAME"
"afor",8,"BOOK_CHAPTER"
"afora",2,"ARTICLE"
"aforismo",1,"ARTICLE"
"aforismos",8,"BOOK_CHAPTER"
"aforização",1,"ABSTRACT"
"aforização",1,"ARTICLE"
"aforizações",1,"ARTICLE"
"afoxé",1,"ABSTRACT"
"afoxé",7,"BOOK_CHAPTER"
"afoxés",1,"ABSTRACT"
"afoxés",8,"ARTICLE"
"afoxés",8,"BOOK_CHAPTER"
"afoxés",16,"BOOK"
"afoxezeiros",8,"BOOK_CHAPTER"
"afoxolaner",4,"ARTICLE"
"afrânio",2,"ARTICLE"
"afrânio",4,"ABSTRACT"
"afrânio",7,"SPEAKER"
"afrânio",24,"BOOK_CHAPTER"
"afric",1,"ARTICLE"
"africa",8,"ABSTRACT"
"africa",8,"BOOK_CHAPTER"
"africa",23,"ARTICLE"
"africa",24,"BOOK"
"africa",26,"SPEAKER"
"áfrica",70,"ARTICLE"
"áfrica",103,"ABSTRACT"
"áfrica",152,"BOOK"
"áfrica",208,"BOOK_CHAPTER"
"áfrica",215,"SPEAKER"
"àfrica",6,"SPEAKER"
"áfricaaméricas",1,"SPEAKER"
"africabrasis",2,"ARTICLE"
"africae",2,"ARTICLE"
"africaine",8,"BOOK_CHAPTER"
"africains",2,"ABSTRACT"
"africaméricas",10,"SPEAKER"
"áfricaméricas",1,"SPEAKER"
"african",13,"ABSTRACT"
"african",18,"SPEAKER"
"african",55,"ARTICLE"
"africana",32,"BOOK"
"africana",46,"ARTICLE"
"africana",70,"SPEAKER"
"africana",87,"ABSTRACT"
"africana",206,"BOOK_CHAPTER"
"africanaana",1,"SPEAKER"
"africanana",1,"SPEAKER"
"africanano",2,"ARTICLE"
"africanas",35,"ARTICLE"
"africanas",43,"ABSTRACT"
"africanas",79,"BOOK_CHAPTER"
"africanas",80,"BOOK"
"africanas",199,"SPEAKER"
"africanias",2,"ABSTRACT"
"africanidade",2,"ARTICLE"
"africanidade",4,"ABSTRACT"
"africanidade",7,"SPEAKER"
"africanidades",5,"ARTICLE"
"africanidades",7,"ABSTRACT"
"africanidades",8,"BOOK"
"africanidades",8,"BOOK_CHAPTER"
"africanidades",52,"SPEAKER"
"africanismo",4,"ABSTRACT"
"africanismo",8,"BOOK_CHAPTER"
"africanismos",8,"BOOK_CHAPTER"
"africanistas",2,"ARTICLE"
"africanistas",2,"SPEAKER"
"africanizadas",2,"ABSTRACT"
"africanizando",1,"ARTICLE"
"africano",11,"SPEAKER"
"africano",12,"ABSTRACT"
"africano",16,"BOOK"
"africano",21,"ARTICLE"
"africano",48,"BOOK_CHAPTER"
"africanos",23,"ARTICLE"
"africanos",48,"BOOK_CHAPTER"
"africanos",55,"SPEAKER"
"africanos",72,"BOOK"
"africanos",122,"ABSTRACT"
"áfricanos",2,"SPEAKER"
"africanum",10,"ARTICLE"
"áfricas",2,"ABSTRACT"
"áfricas",2,"ARTICLE"
"áfricas",32,"BOOK_CHAPTER"
"áfricas",48,"SPEAKER"
"afrique",1,"SPEAKER"
"afrique",6,"ARTICLE"
"afro",152,"BOOK"
"afro",213,"ARTICLE"
"afro",298,"ABSTRACT"
"afro",525,"SPEAKER"
"afro",530,"BOOK_CHAPTER"
"afro0brasileira",1,"SPEAKER"
"afro0brasilidades",2,"SPEAKER"
"afroaids",1,"SPEAKER"
"afroamerica",2,"SPEAKER"
"afroamericana",2,"ABSTRACT"
"afroamericana",2,"SPEAKER"
"afroameríndios",16,"BOOK_CHAPTER"
"afrobapho",2,"ARTICLE"
"afrobetização",4,"ARTICLE"
"afrobetizar",2,"ARTICLE"
"afrobrasileira",8,"BOOK"
"afrobrasileira",9,"ABSTRACT"
"afrobrasileira",14,"SPEAKER"
"afrobrasileira",16,"BOOK_CHAPTER"
"afrobrasileiras",2,"ARTICLE"
"afrobrasileiras",3,"ABSTRACT"
"afrobrasileiras",5,"SPEAKER"
"afrobrasileiro",4,"ARTICLE"
"afrobrasileiro",8,"BOOK_CHAPTER"
"afrobrasileiros",1,"ARTICLE"
"afrobrasileiros",7,"ABSTRACT"
"afrobrasilidades",2,"SPEAKER"
"afrobrasilidades",8,"BOOK"
"afrobrasilindades",16,"BOOK"
"afrobresileira",1,"SPEAKER"
"afrocarioca",2,"SPEAKER"
"afrocênica",2,"ARTICLE"
"afrocentrada",2,"ARTICLE"
"afrocentrada",8,"BOOK_CHAPTER"
"afrocentradas",2,"ARTICLE"
"afrocentradas",2,"SPEAKER"
"afrocentrar",3,"ABSTRACT"
"afrocentrarsaude",2,"ABSTRACT"
"afrocentricidade",1,"ABSTRACT"
"afrocentricidade",3,"SPEAKER"
"afrocolombianas",2,"ARTICLE"
"afrodescedente",2,"SPEAKER"
"afrodescendência",4,"SPEAKER"
"afrodescendência",8,"BOOK_CHAPTER"
"afrodescendência",9,"ABSTRACT"
"afrodescendências",1,"SPEAKER"
"afrodescendente",5,"SPEAKER"
"afrodescendente",6,"ABSTRACT"
"afrodescendente",8,"ARTICLE"
"afrodescendente",8,"BOOK"
"afrodescendente",24,"BOOK_CHAPTER"
"afrodescendentes",1,"SPEAKER"
"afrodescendentes",8,"BOOK_CHAPTER"
"afrodescendentes",11,"ABSTRACT"
"afrodescendentes",12,"ARTICLE"
"afrodescendiente",2,"SPEAKER"
"afrodescendientes",2,"ARTICLE"
"afrodescendientes",2,"SPEAKER"
"afrodescentes",1,"ABSTRACT"
"afrodiáspora",1,"SPEAKER"
"afrodiáspora",2,"ARTICLE"
"afrodiásporas",4,"SPEAKER"
"afrodiaspórica",2,"ARTICLE"
"afrodiaspórica",8,"ABSTRACT"
"afrodiaspóricas",1,"SPEAKER"
"afrodiaspóricas",2,"ARTICLE"
"afrodiaspóricas",13,"ABSTRACT"
"afrodiaspórico",2,"ARTICLE"
"afrodiaspórico",6,"ABSTRACT"
"afrodiaspórico",16,"BOOK_CHAPTER"
"afrodiaspóricos",6,"ABSTRACT"
"afrodisíaco",2,"ARTICLE"
"afroempreendedorismo",1,"SPEAKER"
"afroempreendedorismo",2,"ABSTRACT"
"afroempreendedorismo",5,"ARTICLE"
"afroepistemologias",2,"SPEAKER"
"afroescrituras",1,"SPEAKER"
"afrofeminina",2,"ARTICLE"
"afrofuturismo",2,"ABSTRACT"
"afrofuturista",1,"SPEAKER"
"afrofuturista",2,"ABSTRACT"
"afrohair",1,"ARTICLE"
"afroidentitária",8,"BOOK_CHAPTER"
"afroindígena",2,"SPEAKER"
"afroindígena",6,"ARTICLE"
"afroindígena",8,"BOOK_CHAPTER"
"afroindigenas",2,"SPEAKER"
"afroindígenas",2,"ABSTRACT"
"afroindígenas",2,"ARTICLE"
"afroindígenas",8,"BOOK_CHAPTER"
"afroindígenas",16,"BOOK"
"afrolatina",2,"SPEAKER"
"afrolatinas",2,"SPEAKER"
"afrolatinoamericanos",2,"ABSTRACT"
"afrolatinoamericanos",3,"SPEAKER"
"afroletrada",8,"BOOK_CHAPTER"
"afrolic",7,"SPEAKER"
"afrolive",2,"SPEAKER"
"afronta",2,"ARTICLE"
"afrontar",1,"SPEAKER"
"afrontar",2,"ARTICLE"
"afropacífica",2,"ARTICLE"
"afropessimismo",2,"ARTICLE"
"afroreferenciadas",1,"ABSTRACT"
"afroreligiosa",8,"BOOK_CHAPTER"
"afroreligiosidade",1,"ARTICLE"
"afros",1,"SPEAKER"
"afros",2,"ABSTRACT"
"afroseiulini",1,"ARTICLE"
"afrotrajetórias",8,"BOOK_CHAPTER"
"afrouneb",1,"SPEAKER"
"afrouneb",8,"ABSTRACT"
"afrouneb",8,"BOOK_CHAPTER"
"afrouneb",32,"BOOK"
"afs",3,"ABSTRACT"
"afs",37,"ARTICLE"
"afya",3,"SPEAKER"
"afya",10,"ABSTRACT"
"afyacoordenador",1,"ABSTRACT"
"afyl",2,"ABSTRACT"
"Ágabo Borges de Sousa",1,"NAME"
"agachamento",4,"ARTICLE"
"agachamento",16,"BOOK_CHAPTER"
"agade",2,"ARTICLE"
"agaguk",14,"BOOK_CHAPTER"
"agalma",2,"ARTICLE"
"agalychnis",4,"ARTICLE"
"agamben",1,"ARTICLE"
"agamben",2,"ABSTRACT"
"agamben",8,"BOOK_CHAPTER"
"aganju",8,"BOOK"
"agapornis",2,"ARTICLE"
"agar",2,"ARTICLE"
"ágar",4,"ARTICLE"
"agardh",6,"ARTICLE"
"agarexedens",2,"ARTICLE"
"agaricales",2,"ARTICLE"
"agaricomycetes",2,"ARTICLE"
"agaricus",10,"ARTICLE"
"agaridevorans",2,"ARTICLE"
"agartha",8,"BOOK"
"agartha",8,"BOOK_CHAPTER"
"agassiz",8,"ARTICLE"
"agat",2,"ARTICLE"
"agave",23,"ARTICLE"
"ãgayp",1,"SPEAKER"
"agb",2,"ARTICLE"
"agb",5,"SPEAKER"
"age",2,"SPEAKER"
"age",8,"BOOK_CHAPTER"
"age",206,"ARTICLE"
"âge",2,"ARTICLE"
"âge",7,"BOOK"
"agea",2,"ARTICLE"
"aged",23,"ARTICLE"
"agegacao",8,"BOOK_CHAPTER"
"ageing",2,"SPEAKER"
"ageing",4,"ARTICLE"
"ágeis",2,"ARTICLE"
"ágeis",9,"ABSTRACT"
"ágeis",16,"BOOK_CHAPTER"
"agelaia",4,"ARTICLE"
"agelotoxin",2,"ARTICLE"
"agence",2,"ABSTRACT"
"agencia",7,"ABSTRACT"
"agência",3,"SPEAKER"
"agência",20,"ARTICLE"
"agência",38,"ABSTRACT"
"agência",48,"BOOK_CHAPTER"
"agenciadas",1,"ABSTRACT"
"agenciador",2,"ABSTRACT"
"agenciador",2,"ARTICLE"
"agenciador",8,"BOOK"
"agenciamento",3,"ARTICLE"
"agenciamento",4,"ABSTRACT"
"agenciamento",8,"BOOK"
"agenciamento",16,"BOOK_CHAPTER"
"agenciamentos",5,"ARTICLE"
"agenciamentos",14,"SPEAKER"
"agenciamentos",16,"BOOK_CHAPTER"
"agenciamentos",24,"BOOK"
"agencias",2,"ABSTRACT"
"agencias",2,"ARTICLE"
"agências",2,"SPEAKER"
"agências",5,"ARTICLE"
"agências",7,"BOOK"
"agências",8,"ABSTRACT"
"agências",24,"BOOK_CHAPTER"
"agency",3,"ARTICLE"
"agency",8,"BOOK_CHAPTER"
"agenda",8,"ABSTRACT"
"agenda",16,"BOOK"
"agenda",60,"SPEAKER"
"agenda",66,"ARTICLE"
"agenda",103,"BOOK_CHAPTER"
"agendamento",8,"BOOK_CHAPTER"
"agendas",1,"ABSTRACT"
"agendas",6,"ARTICLE"
"agendas",8,"BOOK"
"agendas",18,"SPEAKER"
"agendha",1,"ABSTRACT"
"agenesia",10,"ARTICLE"
"agenesia",13,"BOOK_CHAPTER"
"agenesis",13,"ARTICLE"
"agenor",2,"ARTICLE"
"agenor",4,"SPEAKER"
"Agenor de Souza Santos Sampaio Neto",1,"NAME"
"agenos",2,"SPEAKER"
"agent",8,"BOOK_CHAPTER"
"agent",62,"ARTICLE"
"agente",3,"PATENT"
"agente",5,"SPEAKER"
"agente",8,"ABSTRACT"
"agente",65,"ARTICLE"
"agente",88,"BOOK_CHAPTER"
"agentes",2,"PATENT"
"agentes",34,"SPEAKER"
"agentes",40,"ABSTRACT"
"agentes",72,"BOOK"
"agentes",170,"BOOK_CHAPTER"
"agentes",195,"ARTICLE"
"agentivas",8,"BOOK_CHAPTER"
"agents",8,"BOOK"
"agents",70,"ARTICLE"
"ageobrh",2,"ABSTRACT"
"ageograficidade",2,"ARTICLE"
"ageratum",10,"ARTICLE"
"ages",8,"ABSTRACT"
"ages",10,"ARTICLE"
"ágeson",1,"ABSTRACT"
"agestão",8,"BOOK_CHAPTER"
"aggeu",6,"ABSTRACT"
"aggregate",6,"ARTICLE"
"aggregates",16,"ARTICLE"
"aggregatibacter",8,"ARTICLE"
"aggregation",8,"BOOK_CHAPTER"
"aggregation",20,"ARTICLE"
"aggregations",8,"ARTICLE"
"aggressions",2,"ARTICLE"
"aggressive",11,"ARTICLE"
"aggressiveness",2,"ARTICLE"
"ágil",2,"ARTICLE"
"agile",2,"ARTICLE"
"agile",8,"BOOK_CHAPTER"
"agilidade",1,"ARTICLE"
"agility",4,"ARTICLE"
"aging",4,"SPEAKER"
"aging",29,"ARTICLE"
"agintec",2,"ABSTRACT"
"agir",5,"SPEAKER"
"agir",6,"ABSTRACT"
"agir",8,"BOOK"
"agir",18,"ARTICLE"
"agir",125,"BOOK_CHAPTER"
"agisoftphotoscan",2,"ABSTRACT"
"agistemus",1,"ARTICLE"
"agitação",2,"PATENT"
"agitação",4,"ARTICLE"
"agitador",3,"PATENT"
"agitadora",8,"BOOK"
"agitadora",8,"BOOK_CHAPTER"
"agitados",3,"ARTICLE"
"agitation",2,"ARTICLE"
"aglacy",2,"ARTICLE"
"aglacy",7,"BOOK_CHAPTER"
"aglae",1,"ABSTRACT"
"agli",8,"BOOK_CHAPTER"
"aglomeração",1,"SPEAKER"
"aglomeração",2,"ARTICLE"
"aglomeração",4,"ABSTRACT"
"aglomeração",16,"BOOK"
"aglomeração",24,"BOOK_CHAPTER"
"aglomerações",2,"ABSTRACT"
"aglomerações",2,"ARTICLE"
"aglomerações",8,"BOOK_CHAPTER"
"aglomerado",3,"ARTICLE"
"aglomerados",12,"ARTICLE"
"aglomerados",13,"ABSTRACT"
"aglomerados",24,"BOOK_CHAPTER"
"aglutinante",1,"PATENT"
"agn",2,"ABSTRACT"
"Agna Almeida Menezes",1,"NAME"
"agnaldo",4,"ARTICLE"
"Agnaldo Volpe Lovato",1,"NAME"
"agnes",8,"BOOK_CHAPTER"
"Agnes Claudine Fontes De La Longuiniere",1,"NAME"
"Agnes Maria Da Fonseca Fausto",1,"NAME"
"Agnete Troelsen Pereira Nascimento",1,"NAME"
"agnp",2,"ARTICLE"
"agnu",16,"BOOK_CHAPTER"
"ago",2,"ABSTRACT"
"ago",2,"ARTICLE"
"ago",3,"SPEAKER"
"ago18",2,"ABSTRACT"
"agônico",2,"ARTICLE"
"agonist",10,"ARTICLE"
"agonistas",1,"ARTICLE"
"agonístico",2,"ARTICLE"
"agontimé",1,"ARTICLE"
"agora",6,"ABSTRACT"
"agora",12,"SPEAKER"
"agora",14,"ARTICLE"
"agora",40,"BOOK_CHAPTER"
"agora",47,"BOOK"
"ágora",2,"SPEAKER"
"ágora",5,"ABSTRACT"
"agoridade",2,"ABSTRACT"
"agoridade",2,"ARTICLE"
"agositnho",1,"SPEAKER"
"agosti",4,"ARTICLE"
"agostinho",5,"ARTICLE"
"agostinho",16,"BOOK_CHAPTER"
"agostinho",24,"SPEAKER"
"agostinho",42,"ABSTRACT"
"agostiniano",8,"BOOK_CHAPTER"
"agostinianos",2,"SPEAKER"
"agosto",8,"BOOK_CHAPTER"
"agosto",9,"ARTICLE"
"agosto",12,"SPEAKER"
"agosto",136,"ABSTRACT"
"agostos",3,"ABSTRACT"
"agostos",8,"BOOK_CHAPTER"
"agouro",2,"ARTICLE"
"agouti",16,"BOOK"
"agoutidae",1,"ARTICLE"
"agoutidae",16,"BOOK_CHAPTER"
"agoutis",2,"ARTICLE"
"agrã",3,"ARTICLE"
"agraciada",2,"ABSTRACT"
"agraciado",7,"ABSTRACT"
"agradáveis",2,"ABSTRACT"
"agral",1,"ABSTRACT"
"agraria",1,"ABSTRACT"
"agraria",2,"SPEAKER"
"agraria",4,"ARTICLE"
"agraria",8,"BOOK"
"agraria",8,"BOOK_CHAPTER"
"agrária",24,"BOOK"
"agrária",53,"ARTICLE"
"agrária",55,"ABSTRACT"
"agrária",108,"SPEAKER"
"agrária",134,"BOOK_CHAPTER"
"agrarian",1,"ARTICLE"
"agrarias",1,"SPEAKER"
"agrarias",2,"ABSTRACT"
"agrárias",6,"ARTICLE"
"agrárias",8,"BOOK"
"agrárias",8,"BOOK_CHAPTER"
"agrárias",34,"SPEAKER"
"agrárias",144,"ABSTRACT"
"agrario",2,"ARTICLE"
"agrario",3,"SPEAKER"
"agrario",8,"BOOK"
"agrário",5,"SPEAKER"
"agrário",16,"ARTICLE"
"agrário",16,"BOOK"
"agrário",16,"BOOK_CHAPTER"
"agrário",37,"ABSTRACT"
"agrários",3,"ABSTRACT"
"agrários",3,"SPEAKER"
"agrários",9,"ARTICLE"
"agrários",16,"BOOK_CHAPTER"
"agravamento",2,"ARTICLE"
"agravamento",8,"BOOK_CHAPTER"
"agravo",2,"SPEAKER"
"agravos",4,"SPEAKER"
"agravos",13,"ABSTRACT"
"agravos",19,"ARTICLE"
"agravos",24,"BOOK_CHAPTER"
"agreement",12,"ARTICLE"
"agrega",3,"ABSTRACT"
"agregação",1,"PATENT"
"agregação",4,"ARTICLE"
"agregação",16,"BOOK_CHAPTER"
"agregado",3,"ABSTRACT"
"agregado",3,"ARTICLE"
"agregado",8,"BOOK_CHAPTER"
"agregados",1,"ABSTRACT"
"agregados",22,"ARTICLE"
"agregados",40,"BOOK_CHAPTER"
"agregam",2,"ABSTRACT"
"agregando",8,"BOOK"
"agregar",1,"ABSTRACT"
"agrener",2,"SPEAKER"
"agressão",2,"SPEAKER"
"agressão",8,"BOOK_CHAPTER"
"agressão",17,"ARTICLE"
"agressiva",2,"ARTICLE"
"agressividade",1,"SPEAKER"
"agressividade",2,"ARTICLE"
"agressivo",8,"ARTICLE"
"agressões",7,"ARTICLE"
"agressões",16,"BOOK_CHAPTER"
"agressor",1,"ARTICLE"
"agressores",4,"ARTICLE"
"agressores",22,"BOOK_CHAPTER"
"agreste",7,"ABSTRACT"
"agreste",8,"ARTICLE"
"agreste",8,"BOOK"
"agreste",21,"SPEAKER"
"agreste",24,"BOOK_CHAPTER"
"agrg",2,"ARTICLE"
"agri",1,"SPEAKER"
"agribusiness",1,"ABSTRACT"
"agribusiness",1,"SPEAKER"
"agribusiness",2,"ARTICLE"
"agribusiness",8,"BOOK_CHAPTER"
"agric",1,"SPEAKER"
"agríco0la",2,"ABSTRACT"
"agricola",2,"ARTICLE"
"agricola",2,"PATENT"
"agricola",5,"SPEAKER"
"agricola",6,"ABSTRACT"
"agricola",24,"BOOK_CHAPTER"
"agrícola",16,"BOOK"
"agrícola",34,"SPEAKER"
"agrícola",74,"ARTICLE"
"agrícola",185,"ABSTRACT"
"agrícola",256,"BOOK_CHAPTER"
"agricolas",1,"ABSTRACT"
"agricolas",1,"ARTICLE"
"agricolas",8,"BOOK_CHAPTER"
"agrícolas",1,"SPEAKER"
"agrícolas",24,"ABSTRACT"
"agrícolas",59,"ARTICLE"
"agrícolas",112,"BOOK"
"agrícolas",160,"BOOK_CHAPTER"
"agricole",8,"BOOK"
"agrícoloa",2,"ARTICLE"
"agriculltura",2,"SPEAKER"
"agricultor",2,"ARTICLE"
"agricultor",16,"BOOK_CHAPTER"
"agricultoras",2,"ABSTRACT"
"agricultoras",3,"ARTICLE"
"agricultoras",32,"BOOK_CHAPTER"
"agricultores",4,"SPEAKER"
"agricultores",9,"ABSTRACT"
"agricultores",32,"ARTICLE"
"agricultores",94,"BOOK_CHAPTER"
"agricultoresfamiliares",8,"BOOK"
"agricultura",59,"SPEAKER"
"agricultura",112,"BOOK"
